,thermalZone.TAir,weaBus.TDryBul,totalHeatingPower.y,weaDat.weaBus.HGloHor
666,19.902375000000003,-0.861732172413793,3721.33333333333,4.515192068965501
669,19.936625,-0.852581347826087,2901.33333333333,13.4980956521739
672,19.9171875,-0.753868586206897,4415.33333333333,20.4640034482759
675,19.9811875,-0.754395,2771.33333333333,24.3601275862069
678,19.789375,-0.756938,2678.66666666667,35.51584
681,19.6658125,-0.780334633333333,3793.33333333333,42.5908466666667
684,19.7416875,-0.671488766666667,2995.33333333333,59.5216
687,19.7849375,-0.5565388,3464.0,71.3484733333333
690,19.782000000000004,-0.3418984,3851.33333333333,66.8078
693,19.850625000000004,-0.357666,4747.33333333333,78.21229333333329
696,20.1241875,-0.374503517241379,3916.66666666667,74.10006551724139
699,20.1343125,-0.412386931034483,1603.33333333333,85.6429448275862
702,19.9128125,-0.357139827586207,3175.33333333333,106.033965517241
705,19.8175625,-0.4507449,1161.33333333333,104.4002
708,19.6525625,-0.370890433333333,3974.0,97.11416666666668
711,19.733000000000004,-0.382588933333333,3742.66666666667,103.9426
714,19.8565,-0.245259466666667,3300.66666666667,126.435333333333
717,19.981375000000003,-0.0702921333333333,3594.0,145.548
720,20.049875,0.04058838,1940.0,190.919766666667
723,20.0973125,0.0894165333333333,3454.66666666667,227.1396
726,20.1614375,0.1382445,1237.33333333333,247.06213333333295
729,20.1198125,0.371195566666667,3158.0,253.15166666666696
732,20.079875,0.3722126,2814.0,260.93080000000003
735,20.0605625,0.392645586206897,3930.0,240.033275862069
738,20.2035625,0.388436413793103,3576.66666666667,190.002
741,20.3125,0.396328620689655,3689.33333333333,154.645379310345
744,20.3259375,0.3686524,4013.33333333333,150.5816
747,20.356,0.4403686,2727.33333333333,173.17913333333303
750,20.2429375,0.4266356,3128.0,155.052
753,20.115125,0.454101766666667,3164.0,107.709086666667
756,20.0973125,0.4012045,4368.0,130.130566666667
759,20.2310625,0.326436266666667,3530.66666666667,76.90992
762,20.2936875,0.2338664,3977.33333333333,64.7662633333333
765,20.3145,0.265401433333333,3903.33333333333,96.6213033333333
768,20.3976875,0.3066001,4349.33333333333,80.5706266666667
771,20.4690625,0.101623726666667,3759.33333333333,44.5620033333333
774,20.3753125,0.159554482758621,2859.33333333333,43.076355172413805
777,20.2014375,0.164947714285714,4122.66666666667,13.275075
780,20.21325,0.118513310344828,4014.0,5.5711620689655
783,20.262125,0.0690539344827586,3744.66666666667,0.582604137931
786,20.222,0.0153850631034483,3716.0,-2.1483527586206
789,20.143,-0.0529988266666667,5114.66666666667,-3.16791
792,20.2619375,-0.1425171,4893.33333333333,-3.3439066666666
795,20.355375,-0.327148366666667,3950.66666666667,-3.2383086666666
